[20 dez 11:23:15] Logged in, Tchurk(268483553) leto 127.0.0.1
[20 dez 11:25:21] Created new character, test(268483575), max 127.0.0.1
[20 dez 11:26:46] Disconnected abnormally, max 127.0.0.1
[20 dez 11:27:52] Logged in, test(268483575) max 127.0.0.1
[20 dez 11:32:45] Disconnected, test(268483575) max 127.0.0.1
[20 dez 11:32:55] Disconnected, Tchurk(268483553) leto 127.0.0.1
[20 dez 12:34:38] Logged in, Tchurk(268483553) leto 127.0.0.1
[20 dez 12:43:07] Logged in, Tchurk(268483553) leto 127.0.0.1
[20 dez 12:44:50] Logged in, test(268483575) max 127.0.0.1
[20 dez 12:45:31] Logged out, Tchurk(268483553) leto 127.0.0.1
[20 dez 12:45:49] Kicked by login, test(268483575) max 127.0.0.1
[20 dez 12:46:10] Logged in, test(268483575) max 127.0.0.1
[20 dez 12:47:21] Logged in, Tchurk(268483553) leto 127.0.0.1
[20 dez 12:49:10] Logged out, test(268483575) max 127.0.0.1
[20 dez 12:49:13] Logged in, test(268483575) max 127.0.0.1
[20 dez 12:51:58] Disconnected, test(268483575) max 127.0.0.1
[20 dez 12:52:07] Disconnected, Tchurk(268483553) leto 127.0.0.1
[20 dez 13:18:28] Logged in, Tchurk(268483553) leto 127.0.0.1
[20 dez 13:23:05] Disconnected, Tchurk(268483553) leto 127.0.0.1
[20 dez 17:40:06] Logged in, Tchurk(268483553) leto 127.0.0.1
[20 dez 17:41:19] Logged in, test(268483575) max 127.0.0.1
[20 dez 17:44:53] Disconnected, test(268483575) max 127.0.0.1
[20 dez 17:45:00] Disconnected, Tchurk(268483553) leto 127.0.0.1
